epoch,training_f1_macro_epoch_mean,training_cross_entropy_epoch_mean,step,testing_f1_macro_epoch_mean
0,0.13698630034923553,1.1578922271728516,0,
1,0.4134989082813263,1.1322739124298096,1,
2,0.40776222944259644,1.4143706560134888,2,
3,0.3441077470779419,1.1848609447479248,3,
4,0.5514565706253052,0.8591497540473938,4,
5,0.5659856200218201,0.8341835141181946,5,
6,0.5869336128234863,0.8653188943862915,6,
7,0.7083333134651184,0.6884858012199402,7,
8,0.8190277218818665,0.5741212964057922,8,
9,0.8514310121536255,0.45862141251564026,9,
10,0.8811718225479126,0.39226239919662476,10,
11,0.9388368129730225,0.2754543423652649,11,
12,0.9694340229034424,0.1380474865436554,12,
13,1.0,0.08779477328062057,13,
14,0.9846502542495728,0.062207359820604324,14,
15,0.9700000286102295,0.13384658098220825,15,
16,0.9696356058120728,0.07254709303379059,16,
17,0.861901044845581,0.4455733895301819,17,
18,0.8917989730834961,0.4321165978908539,18,
19,0.8235658407211304,0.5306704044342041,19,
20,0.9329044222831726,0.19191204011440277,20,
21,0.9096865653991699,0.33740419149398804,21,
22,0.9522751569747925,0.24876528978347778,22,
23,0.9522751569747925,0.22268755733966827,23,
24,0.924585223197937,0.22454853355884552,24,
25,0.8767399787902832,0.23858945071697235,25,
26,0.9392849206924438,0.15015286207199097,26,
27,0.9543033838272095,0.12808910012245178,27,
28,0.953926682472229,0.10554302483797073,28,
29,0.9694340229034424,0.07397076487541199,29,
30,1.0,0.050384171307086945,30,
31,1.0,0.03545910120010376,31,
32,1.0,0.019348956644535065,32,
33,1.0,0.01393142156302929,33,
34,1.0,0.010606339201331139,34,
35,1.0,0.00887554232031107,35,
36,1.0,0.009153666906058788,36,
37,1.0,0.007449972443282604,37,
38,1.0,0.004387434106320143,38,
39,1.0,0.002862581517547369,39,
40,1.0,0.002426578663289547,40,
41,1.0,0.001949935918673873,41,
42,1.0,0.0019124523969367146,42,
43,1.0,0.001564972335472703,43,
44,1.0,0.0012965083587914705,44,
45,1.0,0.0009452089434489608,45,
46,1.0,0.0007092539453878999,46,
47,1.0,0.0006204304518178105,47,
48,1.0,0.0005413317121565342,48,
49,1.0,0.0004940194776281714,49,
50,1.0,0.0004949486465193331,50,
51,1.0,0.00039459861000068486,51,
52,1.0,0.0003467715869192034,52,
53,1.0,0.00035345464129932225,53,
54,1.0,0.0003704399859998375,54,
55,1.0,0.000265760812908411,55,
56,1.0,0.0002593153913039714,56,
57,1.0,0.00028477999148890376,57,
58,1.0,0.00028718862449750304,58,
59,1.0,0.00022560563229490072,59,
60,1.0,0.00026626308681443334,60,
61,1.0,0.0002442417899146676,61,
62,1.0,0.00024156286963261664,62,
63,1.0,0.0002507379977032542,63,
64,1.0,0.00020659217261709273,64,
65,1.0,0.0001738291757646948,65,
66,1.0,0.00018916744738817215,66,
67,1.0,0.00016831720131449401,67,
68,1.0,0.00012671422155108303,68,
69,1.0,0.00013376287824939936,69,
70,1.0,0.0001304738107137382,70,
71,1.0,0.00014308770187199116,71,
72,1.0,0.00014232407556846738,72,
73,1.0,0.00013675888476427644,73,
74,1.0,0.0001259275304619223,74,
75,1.0,0.0001102563546737656,75,
76,1.0,0.00013187024160288274,76,
77,1.0,0.00014802557416260242,77,
78,1.0,0.00013139525253791362,78,
79,1.0,0.00012242767843417823,79,
80,1.0,0.00011489790631458163,80,
81,1.0,0.00013915981980971992,81,
82,1.0,0.00010319935972802341,82,
83,1.0,0.00010759223368950188,83,
84,1.0,8.965145389083773e-05,84,
85,1.0,8.341762440977618e-05,85,
86,1.0,0.0001125419803429395,86,
87,1.0,0.00011105644807685167,87,
88,1.0,0.00010165970888920128,88,
89,1.0,9.68531021499075e-05,89,
90,1.0,0.00010075396858155727,90,
91,1.0,8.867144060786813e-05,91,
92,1.0,9.480492735747248e-05,92,
93,1.0,7.829438254702836e-05,93,
94,1.0,9.902822057483718e-05,94,
95,1.0,0.0001068721612682566,95,
96,1.0,0.00010460484918439761,96,
97,1.0,7.353896216955036e-05,97,
98,1.0,8.741844794712961e-05,98,
99,1.0,8.058979437919334e-05,99,
100,,,100,0.5026738047599792
